basis,keep_ratio,mean,std
block_dct_8,0.05,0.7456429409437803,0.08029401760875556
block_dct_8,0.1,0.8574215111448198,0.05610518994123253
block_dct_8,0.15,0.9079769079358745,0.040960965052233914
block_dct_8,0.2,0.9371674888373804,0.03079547711600154
block_dct_8_rank,0.05,0.6110513741650735,0.11069901804214113
block_dct_8_rank,0.1,0.7314479160700755,0.0887834146117012
block_dct_8_rank,0.15,0.7918777017158541,0.07336172059703519
block_dct_8_rank,0.2,0.8356434695665059,0.06452122522870349
block_fft_8,0.05,0.6694705602577273,0.08173116066375742
block_fft_8,0.1,0.7877391803994661,0.06258094784808461
block_fft_8,0.15,0.848375806927907,0.05046872800844264
block_fft_8,0.2,0.8869194034564529,0.04146364941853043
block_pca_8,0.05,0.7368124760991364,0.07509067746103384
block_pca_8,0.1,0.8452435113312703,0.05371750649833545
block_pca_8,0.15,0.8978823789525222,0.04041166042619727
block_pca_8,0.2,0.9292112087088442,0.030765255935485795
block_pca_8_rank,0.05,0.6081289580788721,0.10651662029108121
block_pca_8_rank,0.1,0.7345982316141945,0.08718928741296461
block_pca_8_rank,0.15,0.796943779779324,0.07268730053852325
block_pca_8_rank,0.2,0.8395204427008517,0.06205393072089583
dct,0.05,0.7180923919526044,0.0737661755554892
dct,0.1,0.8052295085807079,0.06089113739028191
dct,0.15,0.8528841349123658,0.0521943924929838
dct,0.2,0.8852723577509832,0.045177924259557835
dct_rank,0.05,0.6575903457755052,0.10330392280124287
dct_rank,0.1,0.7642950701160653,0.08307323312962732
dct_rank,0.15,0.819921275374423,0.0690037174622312
dct_rank,0.2,0.859067612216044,0.05676462987963321
fft,0.05,0.6841024544664625,0.08166694969078116
fft,0.1,0.7761097595872383,0.06802711512105347
fft,0.15,0.8271939257079878,0.05935767212926042
fft,0.2,0.8613784495857756,0.05216430217900487
pca,0.05,0.23349586859328875,0.06705187288703143
pca,0.1,0.23349586859328875,0.06705187288703143
pca,0.15,0.23349586859328875,0.06705187288703143
pca,0.2,0.23349586859328875,0.06705187288703143
pca_rank,0.05,0.23349586859328875,0.06705187288703143
pca_rank,0.1,0.23349586859328875,0.06705187288703143
pca_rank,0.15,0.23349586859328875,0.06705187288703143
pca_rank,0.2,0.23349586859328875,0.06705187288703143
qft,0.05,0.7156042077006678,0.07716767759190765
qft,0.1,0.8100212017232762,0.05914720498633521
qft,0.15,0.8617986611716497,0.04762420262193558
qft,0.2,0.8962524069320154,0.03915918733795632
