basis,keep_ratio,mean,std
block_dct_8,0.05,29.811678632400522,4.587904676603182
block_dct_8,0.1,33.642079606756376,4.777652208519725
block_dct_8,0.15,36.432789011558995,4.871371165070954
block_dct_8,0.2,38.794909877679494,4.896484631283228
block_dct_8_rank,0.05,24.872720295285283,3.5911777309434725
block_dct_8_rank,0.1,26.828773642199373,3.9389963961544145
block_dct_8_rank,0.15,28.098350778065814,4.0286306634027875
block_dct_8_rank,0.2,29.223636620643745,4.2482719889957
block_fft_8,0.05,27.791124318963785,4.052954767057343
block_fft_8,0.1,30.861023936102978,4.266379535207005
block_fft_8,0.15,33.12846034094207,4.392657119538597
block_fft_8,0.2,35.090669126608375,4.497306529253943
block_pca_8,0.05,29.573257263875092,4.497597986999381
block_pca_8,0.1,33.25349610886252,4.682576969296258
block_pca_8,0.15,35.96179964113353,4.766057777519256
block_pca_8,0.2,38.26868872065891,4.79784367730511
block_pca_8_rank,0.05,24.896468138736083,3.5762702862760762
block_pca_8_rank,0.1,26.89281087016322,3.921830645535987
block_pca_8_rank,0.15,28.17531644238823,4.0427796604373745
block_pca_8_rank,0.2,29.365748642851003,4.221687027583159
dct,0.05,28.23857327744257,3.8600037012481776
dct,0.1,30.732970140406064,4.01264749448279
dct,0.15,32.65074410428862,4.080786499939879
dct,0.2,34.332301341821164,4.126176495360563
dct_rank,0.05,26.11913789537052,3.9553150576774234
dct_rank,0.1,27.984951727241256,4.186005687233309
dct_rank,0.15,29.395241385582246,4.309552008631146
dct_rank,0.2,30.609441581892906,4.375604575125816
fft,0.05,27.403750127097428,3.7484499512176908
fft,0.1,29.67316323215549,3.9517464506408064
fft,0.15,31.384335135924545,4.058257571503076
fft,0.2,32.86704685591475,4.128540411572009
pca,0.05,NaN,NaN
pca,0.1,NaN,NaN
pca,0.15,NaN,NaN
pca,0.2,NaN,NaN
pca_rank,0.05,NaN,NaN
pca_rank,0.1,NaN,NaN
pca_rank,0.15,NaN,NaN
pca_rank,0.2,NaN,NaN
qft,0.05,28.39990266444278,4.275787628764891
qft,0.1,31.186386273539757,4.511790667289142
qft,0.15,33.38751543584736,4.667552781048319
qft,0.2,35.35303313223138,4.808091032727727
