basis,time_s,warmup_s
block_dct_8,17.728532164357603,NaN
block_dct_8_rank,16.401252396404743,NaN
block_fft_8,22.07842000387609,NaN
block_pca_8,30.875171379186213,NaN
block_pca_8_rank,29.567077619954944,NaN
dct,17.758972357958555,NaN
dct_rank,40.507083320990205,NaN
fft,22.926253722049296,NaN
pca,NaN,NaN
pca_rank,NaN,NaN
tebd,1850.532932442613,0.7205655090510845
